Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,30.21
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,24.17
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,28.68
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,26.63
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,28.82
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,21.53
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,27.46
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,25.23
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,27.25
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,17.27
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,26.16
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,16.52
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,26.97
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,19.98
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,27.82
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,22.37
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,26.00
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,21.53
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,26.51
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,20.56
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,25.81
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_010202_1A,COMPOSITE_BREAKDOWN._L_MI_COUNTRY,16.16
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,29.61
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,25.63
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,27.50
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,30.60
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,27.91
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,23.85
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,27.20
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,24.75
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,26.55
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,22.93
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,25.60
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,20.59
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,26.11
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,25.60
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,27.15
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,22.36
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,25.30
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,21.53
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,25.11
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_010202_1B,COMPOSITE_BREAKDOWN._L_MI_NUTS2,23.44
