Year,Units,Territorio,Value
2010,Porcentaje,ES53,24.96
2011,Porcentaje,ES53,23.48
2012,Porcentaje,ES53,20.54
2013,Porcentaje,ES53,19.77
2014,Porcentaje,ES53,19.42
2015,Porcentaje,ES53,25.86
2016,Porcentaje,ES53,18.81
2017,Porcentaje,ES53,20.78
2018,Porcentaje,ES53,21.6
2010,Porcentaje,ES,19.48
2011,Porcentaje,ES,19.37
2012,Porcentaje,ES,19.69
2013,Porcentaje,ES,19.30
2014,Porcentaje,ES,20.45
2015,Porcentaje,ES,20.23
2016,Porcentaje,ES,20.18
2017,Porcentaje,ES,20.62
2018,Porcentaje,ES,20.23
2019,Porcentaje,ES,19.49
2019,Porcentaje,ES53,18.12
