Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,19.48
2010,UNIDAD_MEDIDA.PT,ES53,24.96
2011,UNIDAD_MEDIDA.PT,ES,19.37
2011,UNIDAD_MEDIDA.PT,ES53,23.48
2012,UNIDAD_MEDIDA.PT,ES,19.69
2012,UNIDAD_MEDIDA.PT,ES53,20.54
2013,UNIDAD_MEDIDA.PT,ES,19.30
2013,UNIDAD_MEDIDA.PT,ES53,19.77
2014,UNIDAD_MEDIDA.PT,ES,20.45
2014,UNIDAD_MEDIDA.PT,ES53,19.42
2015,UNIDAD_MEDIDA.PT,ES,20.23
2015,UNIDAD_MEDIDA.PT,ES53,25.86
2016,UNIDAD_MEDIDA.PT,ES,20.18
2016,UNIDAD_MEDIDA.PT,ES53,18.81
2017,UNIDAD_MEDIDA.PT,ES,20.62
2017,UNIDAD_MEDIDA.PT,ES53,20.78
2018,UNIDAD_MEDIDA.PT,ES,20.23
2018,UNIDAD_MEDIDA.PT,ES53,21.60
2019,UNIDAD_MEDIDA.PT,ES,19.49
2019,UNIDAD_MEDIDA.PT,ES53,18.12
2020,UNIDAD_MEDIDA.PT,ES,19.71
2020,UNIDAD_MEDIDA.PT,ES53,20.66
2021,UNIDAD_MEDIDA.PT,ES,20.61
2021,UNIDAD_MEDIDA.PT,ES53,17.52
2022,UNIDAD_MEDIDA.PT,ES,19.39
2022,UNIDAD_MEDIDA.PT,ES53,16.98
2023,UNIDAD_MEDIDA.PT,ES,18.29
2023,UNIDAD_MEDIDA.PT,ES53,18.80
2024,UNIDAD_MEDIDA.PT,ES,18.74
2024,UNIDAD_MEDIDA.PT,ES53,14.52
