Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,Value
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1A_01,SEX._T,39.41
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_050A1A_01,SEX._T,43.74
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1A_01,SEX._T,47.49
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_050A1A_01,SEX._T,44.88
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1A_01,SEX._T,48.93
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1A_02,SEX.M,41.75
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_050A1A_02,SEX.M,45.03
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1A_02,SEX.M,46.40
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_050A1A_02,SEX.M,44.08
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1A_02,SEX.M,46.70
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1A_03,SEX.F,34.87
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_050A1A_03,SEX.F,41.31
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1A_03,SEX.F,49.71
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_050A1A_03,SEX.F,46.64
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1A_03,SEX.F,53.91
