Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.PT,ES,74.86
2015,UNIDAD_MEDIDA.PT,ES53,59.85
2016,UNIDAD_MEDIDA.PT,ES,75.36
2016,UNIDAD_MEDIDA.PT,ES53,68.53
2017,UNIDAD_MEDIDA.PT,ES,76.09
2017,UNIDAD_MEDIDA.PT,ES53,63.78
2018,UNIDAD_MEDIDA.PT,ES,77.74
2018,UNIDAD_MEDIDA.PT,ES53,68.44
2019,UNIDAD_MEDIDA.PT,ES,79.48
2019,UNIDAD_MEDIDA.PT,ES53,68.82
2020,UNIDAD_MEDIDA.PT,ES,81.48
2020,UNIDAD_MEDIDA.PT,ES53,77.66
2021,UNIDAD_MEDIDA.PT,ES,82.29
2021,UNIDAD_MEDIDA.PT,ES53,81.04
2022,UNIDAD_MEDIDA.PT,ES,81.85
2022,UNIDAD_MEDIDA.PT,ES53,80.97
