Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,68.24
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,42.85
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,71.14
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,32.34
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,45.16
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,33.26
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,70.29
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,48.11
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,19.21
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,37.82
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,52.40
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,26.60
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,78.04
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,54.42
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,18.52
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,36.15
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,58.58
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,46.74
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,70.79
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,48.35
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,42.79
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,43.63
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,49.47
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,45.73
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,72.65
2014,UNIDAD_MEDIDA.PER_100000_POP,ES53,51.76
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,16.38
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,44.93
2014,UNIDAD_MEDIDA.PER_100000_POP,ES532,54.57
2014,UNIDAD_MEDIDA.PER_100000_POP,ES533,40.66
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,85.22
2015,UNIDAD_MEDIDA.PER_100000_POP,ES53,59.93
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,23.82
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,48.28
2015,UNIDAD_MEDIDA.PER_100000_POP,ES532,62.68
2015,UNIDAD_MEDIDA.PER_100000_POP,ES533,56.96
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,76.81
2016,UNIDAD_MEDIDA.PER_100000_POP,ES53,50.47
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,15.58
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,33.79
2016,UNIDAD_MEDIDA.PER_100000_POP,ES532,54.68
2016,UNIDAD_MEDIDA.PER_100000_POP,ES533,41.66
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,82.81
2017,UNIDAD_MEDIDA.PER_100000_POP,ES53,54.66
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,30.62
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,37.82
2017,UNIDAD_MEDIDA.PER_100000_POP,ES532,59.97
2017,UNIDAD_MEDIDA.PER_100000_POP,ES533,34.12
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,84.99
2018,UNIDAD_MEDIDA.PER_100000_POP,ES53,50.86
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,7.46
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,36.63
2018,UNIDAD_MEDIDA.PER_100000_POP,ES532,53.93
2018,UNIDAD_MEDIDA.PER_100000_POP,ES533,50.34
2019,UNIDAD_MEDIDA.PER_100000_POP,ES,74.48
2019,UNIDAD_MEDIDA.PER_100000_POP,ES53,44.57
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,30.03
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,27.53
2019,UNIDAD_MEDIDA.PER_100000_POP,ES532,49.17
2019,UNIDAD_MEDIDA.PER_100000_POP,ES533,29.87
2020,UNIDAD_MEDIDA.PER_100000_POP,ES,65.62
2020,UNIDAD_MEDIDA.PER_100000_POP,ES53,45.84
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,29.86
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,36.62
2020,UNIDAD_MEDIDA.PER_100000_POP,ES532,48.58
2020,UNIDAD_MEDIDA.PER_100000_POP,ES533,36.58
