Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,1.14
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.65
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,0.00
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,2.11
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,0.00
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,1.18
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,2.28
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,9.60
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,0.00
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,2.45
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,3.19
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,1.32
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,2.54
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,2.95
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,2.66
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,1.06
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,1.46
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,2.52
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,0.00
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,3.11
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,1.06
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,1.60
2014,UNIDAD_MEDIDA.PER_100000_POP,ES53,3.21
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,1.40
2014,UNIDAD_MEDIDA.PER_100000_POP,ES532,3.90
2014,UNIDAD_MEDIDA.PER_100000_POP,ES533,0.00
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,1.51
2015,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.86
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,7.94
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,2.07
2015,UNIDAD_MEDIDA.PER_100000_POP,ES532,1.93
2015,UNIDAD_MEDIDA.PER_100000_POP,ES533,0.00
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,1.58
2016,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.75
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,1.35
2016,UNIDAD_MEDIDA.PER_100000_POP,ES532,1.91
2016,UNIDAD_MEDIDA.PER_100000_POP,ES533,1.07
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,1.64
2017,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.81
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,3.32
2017,UNIDAD_MEDIDA.PER_100000_POP,ES532,1.55
2017,UNIDAD_MEDIDA.PER_100000_POP,ES533,2.13
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,1.53
2018,UNIDAD_MEDIDA.PER_100000_POP,ES53,2.13
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,1.31
2018,UNIDAD_MEDIDA.PER_100000_POP,ES532,2.41
2018,UNIDAD_MEDIDA.PER_100000_POP,ES533,1.05
2019,UNIDAD_MEDIDA.PER_100000_POP,ES,1.61
2019,UNIDAD_MEDIDA.PER_100000_POP,ES53,2.25
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,15.02
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,0.64
2019,UNIDAD_MEDIDA.PER_100000_POP,ES532,2.25
2019,UNIDAD_MEDIDA.PER_100000_POP,ES533,3.09
2020,UNIDAD_MEDIDA.PER_100000_POP,ES,1.16
2020,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.32
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,1.26
2020,UNIDAD_MEDIDA.PER_100000_POP,ES532,1.48
2020,UNIDAD_MEDIDA.PER_100000_POP,ES533,0.00
2021,UNIDAD_MEDIDA.PER_100000_POP,ES,1.16
2021,UNIDAD_MEDIDA.PER_100000_POP,ES53,1.07
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,0.00
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,0.63
2021,UNIDAD_MEDIDA.PER_100000_POP,ES532,1.27
2021,UNIDAD_MEDIDA.PER_100000_POP,ES533,0.00
