Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,11.16
2010,UNIDAD_MEDIDA.PT,ES53,4.64
2011,UNIDAD_MEDIDA.PT,ES,10.90
2011,UNIDAD_MEDIDA.PT,ES53,4.37
2012,UNIDAD_MEDIDA.PT,ES,10.51
2012,UNIDAD_MEDIDA.PT,ES53,4.11
2013,UNIDAD_MEDIDA.PT,ES,10.18
2013,UNIDAD_MEDIDA.PT,ES53,3.98
2014,UNIDAD_MEDIDA.PT,ES,9.97
2014,UNIDAD_MEDIDA.PT,ES53,3.97
2015,UNIDAD_MEDIDA.PT,ES,9.91
2015,UNIDAD_MEDIDA.PT,ES53,3.96
2016,UNIDAD_MEDIDA.PT,ES,10.05
2016,UNIDAD_MEDIDA.PT,ES53,3.93
2017,UNIDAD_MEDIDA.PT,ES,10.05
2017,UNIDAD_MEDIDA.PT,ES53,3.99
2018,UNIDAD_MEDIDA.PT,ES,10.05
2018,UNIDAD_MEDIDA.PT,ES53,3.99
2019,UNIDAD_MEDIDA.PT,ES,10.07
2019,UNIDAD_MEDIDA.PT,ES53,3.86
2020,UNIDAD_MEDIDA.PT,ES,10.09
2020,UNIDAD_MEDIDA.PT,ES53,3.99
2021,UNIDAD_MEDIDA.PT,ES,9.83
2021,UNIDAD_MEDIDA.PT,ES53,3.89
2022,UNIDAD_MEDIDA.PT,ES,9.78
2022,UNIDAD_MEDIDA.PT,ES53,3.92
