Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES53,15.00
2012,UNIDAD_MEDIDA.PT,ES53,13.51
2013,UNIDAD_MEDIDA.PT,ES53,13.42
2014,UNIDAD_MEDIDA.PT,ES53,13.39
2015,UNIDAD_MEDIDA.PT,ES53,14.96
2016,UNIDAD_MEDIDA.PT,ES53,15.73
2017,UNIDAD_MEDIDA.PT,ES53,16.23
2018,UNIDAD_MEDIDA.PT,ES53,18.19
2010,UNIDAD_MEDIDA.PT,ES,6.53
2011,UNIDAD_MEDIDA.PT,ES,7.24
2012,UNIDAD_MEDIDA.PT,ES,7.11
2013,UNIDAD_MEDIDA.PT,ES,6.52
2014,UNIDAD_MEDIDA.PT,ES,6.75
2015,UNIDAD_MEDIDA.PT,ES,7.79
2016,UNIDAD_MEDIDA.PT,ES,7.99
2017,UNIDAD_MEDIDA.PT,ES,8.21
2018,UNIDAD_MEDIDA.PT,ES,8.88
2019,UNIDAD_MEDIDA.PT,ES,9.32
2019,UNIDAD_MEDIDA.PT,ES53,18.84
2010,UNIDAD_MEDIDA.PT,ES53,14.90
