Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.27
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.36
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.27
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.34
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.27
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.32
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.25
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.29
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.25
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.27
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.26
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.28
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.24
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.27
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.25
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.29
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.24
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.29
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.22
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.26
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.20
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,0.21
