Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,92.30
2010,UNIDAD_MEDIDA.PT,ES53,93.02
2011,UNIDAD_MEDIDA.PT,ES,92.79
2011,UNIDAD_MEDIDA.PT,ES53,92.54
2012,UNIDAD_MEDIDA.PT,ES,94.38
2012,UNIDAD_MEDIDA.PT,ES53,90.62
2013,UNIDAD_MEDIDA.PT,ES,94.18
2013,UNIDAD_MEDIDA.PT,ES53,94.49
2014,UNIDAD_MEDIDA.PT,ES,95.01
2014,UNIDAD_MEDIDA.PT,ES53,95.52
2015,UNIDAD_MEDIDA.PT,ES,95.45
2015,UNIDAD_MEDIDA.PT,ES53,97.29
2017,UNIDAD_MEDIDA.PT,ES,96.16
2017,UNIDAD_MEDIDA.PT,ES53,97.20
2019,UNIDAD_MEDIDA.PT,ES,96.92
2019,UNIDAD_MEDIDA.PT,ES53,98.05
2020,UNIDAD_MEDIDA.PT,ES,98.89
2020,UNIDAD_MEDIDA.PT,ES53,99.33
2021,UNIDAD_MEDIDA.PT,ES,99.17
2021,UNIDAD_MEDIDA.PT,ES53,99.40
