Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,98.50
2010,UNIDAD_MEDIDA.PT,ES53,94.20
2011,UNIDAD_MEDIDA.PT,ES,98.10
2011,UNIDAD_MEDIDA.PT,ES53,94.70
2012,UNIDAD_MEDIDA.PT,ES,97.70
2012,UNIDAD_MEDIDA.PT,ES53,95.50
2013,UNIDAD_MEDIDA.PT,ES,97.60
2013,UNIDAD_MEDIDA.PT,ES53,94.30
2014,UNIDAD_MEDIDA.PT,ES,97.20
2014,UNIDAD_MEDIDA.PT,ES53,94.30
2015,UNIDAD_MEDIDA.PT,ES,98.00
2015,UNIDAD_MEDIDA.PT,ES53,93.90
2016,UNIDAD_MEDIDA.PT,ES,98.10
2016,UNIDAD_MEDIDA.PT,ES53,95.40
2017,UNIDAD_MEDIDA.PT,ES,97.80
2017,UNIDAD_MEDIDA.PT,ES53,95.20
2018,UNIDAD_MEDIDA.PT,ES,98.70
2018,UNIDAD_MEDIDA.PT,ES53,96.30
2019,UNIDAD_MEDIDA.PT,ES,98.90
2019,UNIDAD_MEDIDA.PT,ES53,97.10
2020,UNIDAD_MEDIDA.PT,ES,98.90
2020,UNIDAD_MEDIDA.PT,ES53,97.40
2021,UNIDAD_MEDIDA.PT,ES,98.30
2021,UNIDAD_MEDIDA.PT,ES53,95.50
2022,UNIDAD_MEDIDA.PT,ES,98.60
2022,UNIDAD_MEDIDA.PT,ES53,96.10
2023,UNIDAD_MEDIDA.PT,ES,98.50
2023,UNIDAD_MEDIDA.PT,ES53,96.20
2024,UNIDAD_MEDIDA.PT,ES,98.90
2024,UNIDAD_MEDIDA.PT,ES53,97.00
2025,UNIDAD_MEDIDA.PT,ES53,97.40
