Year,Units,general.territorio,Serie,DIM_DES.EDAD,Value
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,67.48
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,65.82
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,72.18
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,69.12
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,93.80
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,94.18
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,98.83
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,91.20
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.23
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.22
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,67.49
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,70.76
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.15
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,94.18
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,93.16
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.11
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.28
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.41
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,64.11
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,67.48
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,64.04
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,62.13
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,68.71
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,66.20
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,72.41
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,72.80
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,96.08
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.50
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,69.68
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,69.24
