Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.EUR,ES53,14.78
2011,UNIDAD_MEDIDA.EUR,ES53,14.57
2012,UNIDAD_MEDIDA.EUR,ES53,14.88
2013,UNIDAD_MEDIDA.EUR,ES53,14.62
2014,UNIDAD_MEDIDA.EUR,ES53,15.33
2015,UNIDAD_MEDIDA.EUR,ES53,14.76
2016,UNIDAD_MEDIDA.EUR,ES53,14.84
2017,UNIDAD_MEDIDA.EUR,ES53,14.48
2018,UNIDAD_MEDIDA.EUR,ES53,15.30
2010,UNIDAD_MEDIDA.EUR,ES,15.56
2011,UNIDAD_MEDIDA.EUR,ES,15.68
2012,UNIDAD_MEDIDA.EUR,ES,15.83
2013,UNIDAD_MEDIDA.EUR,ES,15.87
2014,UNIDAD_MEDIDA.EUR,ES,15.84
2015,UNIDAD_MEDIDA.EUR,ES,16.04
2016,UNIDAD_MEDIDA.EUR,ES,15.94
2017,UNIDAD_MEDIDA.EUR,ES,16.1
2018,UNIDAD_MEDIDA.EUR,ES,16.52
