Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.26
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,13.58
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.70
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,15.78
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.72
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,12.02
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.22
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,10.68
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.50
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,14.14
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,8.52
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,8.75
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.27
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,9.43
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,11.45
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,14.19
2023,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.87
2023,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,12.81
2024,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.75
2024,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,9.53
